Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01365	7.319396997	0.359090774	0.504977367	0.71110271	0.477020591	0.789718682	Amino acid biosynthesis		serC_2	"phosphoserine aminotransferase, Methanosarcina type"	NA	2.6.1.52	"This HMM represents a variant form of the serine biosynthesis enzyme phosphoserine aminotransferase, as found in a small number of distantly related species, including Caulobacter crescentus, Mesorhizobium loti, and the archaeon Methanosarcina barkeri."
TIGR01208	8.430121499	-0.207598072	0.293343876	-0.707695264	0.479134519	0.790599713	NA		rmlA_long	"glucose-1-phosphate thymidylylransferase, long form"	NA	2.7.7.24	"The family of known and putative glucose-1-phosphate thymidyltransferase (also called dTDP-glucose synthase) shows a deep split into a short form (see TIGR01207) and a long form described by this model. The homotetrameric short form is found in numerous bacterial species that incorporate dTDP-L-rhamnose, which it helps synthesize, into the cell wall. It is subject to feedback inhibition. This form, in contrast, is found in many species for which it serves as a sugar-activating enzyme for antibiotic biosynthesis and or other, unknown pathways, and in which dTDP-L-rhamnose is not necessarily produced. Alternate name: dTDP-D-glucose synthase"
TIGR03560	13.62442212	-0.357993609	0.50622261	-0.707186132	0.479450816	0.790599713	Unknown function		F420_Rv1855c	"probable F420-dependent oxidoreductase, Rv1855c family"	NA	NA	"Coenzyme F420 has a limited phylogenetic distribution, including methanogenic archaea, Mycobacterium tuberculosis and related species, Colwellia psychrerythraea 34H, Rhodopseudomonas palustris HaA2, and others. Partial phylogenetic profiling identifies protein subfamilies, within the larger family called luciferase-like monooxygenanases (PF00296), that appear only in F420-positive genomes and are likely to be F420-dependent. This model describes one such subfamily, exemplified by Rv1855c from Mycobacterium tuberculosis."
TIGR03520	10.80627739	-0.212525784	0.300819643	-0.706489052	0.479884059	0.790599713	NA		GldE	gliding motility-associated protein GldE	gldE	NA	"Members of this protein family are exclusive to the Bacteroidetes phylum (previously Cytophaga-Flavobacteria-Bacteroides). GldC is a protein linked to a type of rapid surface gliding motility found in certain Bacteroidetes, such as Flavobacterium johnsoniae and Cytophaga hutchinsonii. GldE was discovered because of its adjacency to GldD in F. johnsonii."
TIGR03406	15.71631467	0.179580492	0.25444507	0.705773126	0.480329237	0.790599713	"Biosynthesis of cofactors, prosthetic groups, and carriers"		FeS_long_SufT	probable FeS assembly SUF system protein SufT	sufT	NA	"The function is unknown for this protein family, but members are found almost always in operons for the the SUF system of iron-sulfur cluster biosynthesis. The SUF system is present elsewhere on the chromosome for those few species where SUF genes are not adjacent. This family shares this property of association with the SUF system with a related family, TIGR02945. TIGR02945 consists largely of a DUF59 domain (see Pfam family PF01883), while this protein is about double the length, with a unique N-terminal domain and DUF59 C-terminal domain. A location immediately downstream of the cysteine desulfurase gene sufS in many contexts suggests the gene symbol sufT. Note that some other homologs of this family and of TIGR02945, but no actual members of this family, are found in operons associated with phenylacetic acid (or other ring-hydroxylating) degradation pathways."
TIGR02210	31.45669993	0.183395177	0.260518436	0.703962374	0.481456206	0.791311138	Cellular processes		rodA_shape	rod shape-determining protein RodA	mrdB	NA	"This protein is a member of the FtsW/RodA/SpoVE family (PF01098). It is found only in species with rod (or spiral) shapes. In many species, mutation of rodA has been shown to correlate with loss of the normal rod shape. Note that RodA homologs are found, scoring below the cutoffs for this model, in a number of both rod-shaped and coccoid bacteria, including four proteins in Bacillus anthracis, for example."
TIGR00517	198.1167841	0.181608306	0.258545684	0.702422501	0.482415717	0.791745679	Fatty acid and phospholipid metabolism		acyl_carrier	acyl carrier protein	acpP	NA	"This small protein has phosphopantetheine covalently bound to a Ser residue. It acts as a carrier of the growing fatty acid chain, which is bound to the prosthetic group, during fatty acid biosynthesis. Homologous phosphopantetheine-binding domains are found in longer proteins. Acyl carrier proteins scoring above the noise cutoff but below the trusted cutoff may be specialized versions. These include those involved in mycolic acid biosynthesis in the Mycobacteria, lipid A biosynthesis in Rhizobium, actinorhodin polyketide synthesis in Streptomyces coelicolor, etc. This protein is not found in the Archaea. Gene name acpP. S (Ser) at position 37 in the seed alignment, in the motif DSLD, is the phosphopantetheine attachment site."
TIGR02428	21.50802387	0.183205448	0.261443086	0.700746963	0.483460942	0.792319443	NA		pcaJ_scoB_fam	"3-oxoacid CoA-transferase, B subunit"	NA	2.8.3.-	"Various members of this family are characterized as the B subunits of succinyl-CoA:3-ketoacid-CoA transferase (EC 2.8.3.5), beta-ketoadipate:succinyl-CoA transferase (EC 2.8.3.6), acetyl-CoA:acetoacetate CoA transferase (EC 2.8.3.8), and butyrate-acetoacetate CoA-transferase (EC 2.8.3.9)."
TIGR00735	10.84531055	0.216653527	0.3101064	0.698642553	0.484775444	0.793332228	Amino acid biosynthesis		hisF	"imidazoleglycerol phosphate synthase, cyclase subunit"	hisF	NA	NA
TIGR04545	11.35586862	0.489200496	0.705040191	0.693861857	0.487768846	0.794522487	"Biosynthesis of cofactors, prosthetic groups, and carriers"		rSAM_ahbD_hemeb	heme b synthase	ahbD	1.3.99.-	"Members of this family are AhbD (alternative heme biosynthetic protein D), a radical SAM enzyme in sulfate-reducing bacteria and methanogens that performs the last decarboxylations to synthesize heme b from Fe-coproporphyrin III. Members include DVU_0855, previously included in error in TIGR04055, the NirJ2 family thought to be involved in heme d1 biosynthesis."
TIGR01087	8.264657544	-0.261288382	0.376844205	-0.693359161	0.488084185	0.794522487	Cell envelope		murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD	6.3.2.9	NA
TIGR01693	10.4763685	-0.187103082	0.269960282	-0.693076334	0.488261648	0.794522487	Central intermediary metabolism		UTase_glnD	[Protein-PII] uridylyltransferase	glnD	2.7.7.59	"This HMM describes GlnD, the uridylyltransferase/uridylyl-removing enzyme for the nitrogen regulatory protein PII."
TIGR01325	27.83592708	0.158863782	0.229590394	0.691944376	0.488972261	0.794522487	Amino acid biosynthesis		O_suc_HS_sulf	O-succinylhomoserine sulfhydrylase	metZ	4.2.99.-	"This HMM describes O-succinylhomoserine sulfhydrylase, one of several related pyridoxal phosphate-dependent enzymes of cysteine and methionine metabolism. This enzyme is part of an alternative pathway of homocysteine biosynthesis, a step in methionine biosynthesis."
TIGR03701	11.60692246	0.217453364	0.314499807	0.691426066	0.489297828	0.794522487	"Biosynthesis of cofactors, prosthetic groups, and carriers"		mena_SCO4490	"menaquinone biosynthesis decarboxylase, SCO4490 family"	NA	NA	"Members of this protein family are putative decarboxylases involved in a late stage of the alternative pathway for menaquinone, via futalosine, as in Streptomyces coelicolor and Helicobacter pylori."
TIGR00914	42.38171507	-0.196246568	0.284156202	-0.690629191	0.489798598	0.794522487	Transport and binding proteins		2A0601	"heavy metal efflux pump, CzcA family"	NA	NA	This model represents a family of H+/heavy metal cation antiporters. This family is one of several subfamilies within the scope of Pfam HMM PF00873.
TIGR00118	93.28782899	0.100719415	0.146034613	0.6896955	0.490385696	0.794522487	Amino acid biosynthesis		acolac_lg	"acetolactate synthase, large subunit, biosynthetic type"	ilvB	2.2.1.6	"Two groups of proteins form acetolactate from two molecules of pyruvate. The type of acetolactate synthase described in this model also catalyzes the formation of acetohydroxybutyrate from pyruvate and 2-oxobutyrate, an early step in the branched chain amino acid biosynthesis; it is therefore also termed In bacteria, this catalytic chain is associated with a smaller regulatory chain in an alpha2/beta2 heterotetramer.  Acetolactate synthase is a thiamine pyrophosphate enzyme. In this type, FAD and Mg++ are also found. Several isozymes of this enzyme are found in E. coli K12, one of which contains a frameshift in the large subunit gene and is not expressed."
TIGR02400	20.83522983	-0.288585537	0.419467741	-0.687980288	0.491465195	0.794774727	Cellular processes		trehalose_OtsA	"alpha,alpha-trehalose-phosphate synthase [UDP-forming]"	otsA	2.4.1.15	"This enzyme catalyzes the key, penultimate step in biosynthesis of trehalose, a compatible solute made as an osmoprotectant in some species in all three domains of life. The gene symbol OtsA stands for osmotically regulated trehalose synthesis A. Trehalose helps protect against both osmotic and thermal stresses, and is made from two glucose subunits. This model excludes glucosylglycerol-phosphate synthase, an enzyme of an analogous osmoprotectant system in many cyanobacterial strains."
TIGR03558	13.01230195	0.306997557	0.446716457	0.687231358	0.491936947	0.794774727	Unknown function		oxido_grp_1	"luciferase family oxidoreductase, group 1"	NA	1.-.-.-	"The Pfam domain family PF00296 is named for luciferase-like monooxygenases, but the family also contains several coenzyme F420-dependent enzymes. This protein family represents a well-resolved clade within family PF00296 and shows no restriction to coenzyme F420-positive species, unlike some other clades within PF00296."
TIGR01348	29.83467325	-0.150127734	0.21885661	-0.685963899	0.492735874	0.794794881	Energy metabolism		PDHac_trf_long	"pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, long form"	aceF	2.3.1.12	This HMM describes a subset of pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase specifically close by both phylogenetic and per cent identity (UPGMA) trees. Members of this set include two or three copies of the lipoyl-binding domain.
TIGR00079	21.35615001	0.152748487	0.223056295	0.68479792	0.493471448	0.794794881	Protein fate		pept_deformyl	peptide deformylase	def	3.5.1.88	"Peptide deformylase (EC 3.5.1.88), also called polypeptide deformylase, is a metalloenzyme that uses water to release formate from the N-terminal formyl-L-methionine of bacterial and chloroplast peptides. This enzyme should not be confused with formylmethionine deformylase (EC 3.5.1.31) which is active on free N-formyl methionine and has been reported from rat intestine."
TIGR02349	189.0473996	0.164011167	0.239819972	0.683892859	0.494042823	0.794794881	NA		DnaJ_bact	chaperone protein DnaJ	dnaJ	NA	"This model represents bacterial forms of DnaJ, part of the DnaK-DnaJ-GrpE chaperone system. The three components typically are encoded by consecutive genes. DnaJ homologs occur in many genomes, typically not near DnaK and GrpE-like genes; most such genes are not included by this family. Eukaryotic (mitochondrial and chloroplast) forms are not included in the scope of this family."
TIGR01800	55.45199273	-0.122452847	0.179558651	-0.681965736	0.495260617	0.795197926	NA		cit_synth_II	2-methylcitrate synthase/citrate synthase II	NA	NA	"Members of this family are dimeric enzymes with activity as 2-methylcitrate synthase, citrate synthase, or both. Many Gram-negative species have a hexameric citrate synthase, termed citrate synthase I (TIGR01798). Members of this family (TIGR01800) appear as a second citrate synthase isozyme but typically are associated with propionate metabolism and synthesize 2-methylcitrate from propionyl-CoA; citrate synthase activity may be incidental. A number of species, including Thermoplasma acidophilum, Pyrococcus furiosus, and the Antarctic bacterium DS2-3R have a bifunctional member of this family as the only citrate synthase isozyme."
